bioguide id,name,state,role,education
P000605,Scott Perry,Pennsylvania,Representative,"B.S., Pennsylvania State University, University Park, Pa., 1991; Pennsylvania Army National Guard, 1980-2019"
S001199,Lloyd Smucker,Pennsylvania,Representative,"attended Lebanon Valley College, Annville, Pa.; attended Franklin & Marshall College, Lancaster, Pa., 1988-1991"
L000602,Summer L. Lee,Pennsylvania,Representative,"B.A., Pennsylvania State University, University Park, Pa., 2009; J.D., Howard University, Washington, D.C., 2015"
J000302,John Joyce,Pennsylvania,Representative,"attended Pennsylvania State University, Altoona, Pa., 1975-1977; B.S., Pennsylvania State University, University Park, Pa., 1979; M.D., Temple University, Philadelphia, Pa., 1983; internal medicine, Johns Hopkins Hospital, Baltimore, Md., 1983-1986"
R000610,Guy Reschenthaler,Pennsylvania,Representative,"B.A., Behrend College, Pennsylvania State University, Erie, Pa., 2004; J.D., Duquesne University, Pittsburgh, Pa., 2007; United States Navy, 2007-2012"
T000467,Glenn Thompson,Pennsylvania,Representative,"B.S., Pennsylvania State University, University Park, Pa., 1981; M.Ed., Temple University, Philadelphia, Pa., 1988"
K000376,Mike Kelly,Pennsylvania,Representative,"B.A., Notre Dame University, South Bend, Ind., 1970"
D000530,Christopher R. Deluzio,Pennsylvania,Representative,"B.S., United States Naval Academy, Annapolis, Md., 2006; J.D., Georgetown University, Washington, D.C., 2013; United States Navy, 2006-2012"
H001103,Pablo José Hernández,Puerto Rico (US Territory),Representative,"A.B., Harvard College, Cambridge, Mass., 2013; J.D., Stanford University, Stanford, Calif., 2017"
R000122,Jack Reed,Rhode Island,Senator,"attended St. Matthew's Elementary School, Cranston, R.I.; graduated, LaSalle Academy, Providence, R.I., 1967; B.S., United States Military Academy, West Point 1971; M.P.P., Kennedy School of Government, Harvard University 1973; J.D., Harvard Law School 1982"
W000802,Sheldon Whitehouse,Rhode Island,Senator,"graduated Yale University 1978; J.D., University of Virginia 1982; director, Rhode Island Department of Business Regulation 1992-1994; United States attorney 1994-1998; Rhode Island State attorney general 1999-2003"
A000380,Gabe Amo,Rhode Island,Representative,"graduated from the Moses Brown School, Providence, R.I., 2005; B.A., Wheaton College, Norton, Mass., 2010; Marshall Scholar, Oxford University, Oxford, England, 2010"
M001223,Seth Magaziner,Rhode Island,Representative,"graduated from Milton Academy, Milton, Mass., 2002; B.A., Brown University, Providence, R.I., 2006; M.B.A., Yale University, New Haven, Conn., 2010"
G000359,Lindsey Graham,South Carolina,Senator,"B.A., University of South Carolina, Columbia 1977; J.D., University of South Carolina School of Law 1981; United States Air Force 1982-1988; South Carolina Air National Guard 1989-1995; United States Air Force Reserves 1995-present"
S001184,Tim Scott,South Carolina,Senator,"attended Presbyterian College, Clinton, S.C., 1983-1984; B.S., Charleston Southern University, Charleston, S.C., 1988"
M000194,Nancy Mace,South Carolina,Representative,"attended Trident Technical College, Charleston, S.C.; B.A., The Citadel, The Military College of South Carolina, Charleston, S.C., 1999; M.S., University of Georgia, Athens, Ga., 2004"
W000795,Joe Wilson,South Carolina,Representative,"B.A., Washington and Lee University, Lexington, Va., 1969; J.D., University of South Carolina, Columbia, S.C., 1972; United States Army Reserve, 1972-1975; South Carolina Army National Guard, 1975-2003"
